,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
639,Peach News Now LLC,2021-09-17,"Producer, Video Production, Writer",Political reporting,political reporting,writing and reporting,,other,75,per assignment,75,Per job,,,2 weeks or less,Paypal,Network referral,Work For Hire,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,No,,"National News, Local News, Politics, Editorial &amp; Opinion, Travel",USA,Yes,GA,USA,He/His,White,0-5 years,41,"Loved it, Would recommend to others","Cis, Male",2021-09-17,Peach News Now LLC,not_news
640,Penguin Publishing,2024-04-01,Copy Editor,approx. 200 page nonfiction manuscript,approx. 200 page nonfiction manuscript,writing and reporting,,other,703,per hour,37,$37/hour,19,37,30 days,Direct Deposit,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,Non Fiction Memoir,USA,No,New York,USA,She/Her,White,0-5 years,27,"Whatevs, Would recommend to others","Cis, Female",2024-04-01,Penguin Random House,not_news
641,Penguin Random House,2020-06-01,Illustrator,Illustration for article on rush order,illustration for article on rush order,graphics/design,,article,500,,0,,,,2 months,Check by mail,Network referral,Work For Hire,Yes,No,"No, but the job wasn't killed",,Turnaround was 2 days. I believe I was compensated for the short turnaround.,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,Obituary,United States,No,CT,Canada,She/Her,White,0-5 years,26,"Work was good, but pay took forever and was a pain.",Female,2020-06-01,Penguin Random House,not_news
642,Penguin Random House,2017-06-06,Designer,Book cover designer,book cover designer,graphics/design,,graphics,2000,,0,,,,,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,"Yes, but the job wasn't killed",1000,,,Did not require expenses,,,No,No,No,,Fiction General/Genre,USA,No,NY,USA,She/Her,Prefer not to say,5-10 years,,Whatevs,Female,2017-06-06,Penguin Random House,not_news
643,Perpetual Sports / R1S1 Sports,2023-08-01,Writer,Write articles about Kansas basketball ~ 800 words,write articles about kansas basketball ~ 800 words,writing and reporting,800,article,2500,per article,500,500 per story,20,125,2 months,Direct Deposit,They reached out to me with an assignment,Work For Hire,No,No,"No, &amp; the job was killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,,,,USA,No,DC,USA,He/His,"Jewish, White",5-10 years,30,Hated it,"Cis, Male",2023-08-01,R1S1 Sports,news
644,Pineapple Street Studios,2021-10-31,Audio Production,Podcast Producer for narrative project,podcast producer for narrative project,audio,,audio,48000,per week,2000,2000/week,,,2 weeks or less,Direct Deposit,"Pre-existing relationship, Network referral",Work For Hire,Yes,No,"No, but the job wasn't killed",,Required overtime &amp; I wasn't compensated,Job expanded &amp; I was compensated,Required expenses &amp; I was reimbursed,Via invoice,Was not hazardous,Unsure,No,No,,Politics,United States,No,,USA,She/Her,White,5-10 years,,"Whatevs, Would recommend to others","Cis, Female",2021-10-31,Pineapple Street Studios,ambiguous
645,Pineapple Street Studios,2020-10-10,Editor,2 days of edited - listened to 8 episodes and then did a group edit,2 days of edited  listened to 8 episodes and then did a group edit,editing,,audio,1000,per day,500,$500 per day,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, &amp; the job was killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,Non Fiction Memoir,United States,No,NY,United States,She/Her,White,15-20 years,39,"Whatevs, Would recommend to others",Prefer not to say,2020-10-10,Pineapple Street Studios,ambiguous
646,Pipe Wrench Magazine,2021-03-15,Writer,"Long-form, research-heavy, first-person reported story",long form research heavy first person reported story,writing and reporting,,article,3000,,0,,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Unsure,Yes,No,"Yes, but the job wasn't killed",1500,,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Unsure,No,,"Editorial &amp; Opinion, Non Fiction General/Genre",Germany,No,,United States,,,5-10 years,37,"Loved it, Would recommend to others",Female,2021-03-15,Pipe Wrench Magazine,news
647,Pipe Wrench Magazine,2021-02-08,Writer,6000 word narrative non-fiction,6000 word narrative non fiction,writing and reporting,6000,article,2750,,0,,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,They got 90 days exclusive after that the work and all rights are mines,Yes,No,"Yes, but the job wasn't killed",1375,,Job did not expand,Required expenses &amp; I was reimbursed,submit receipts and reimbursed with final payment,,Publicly Available,No,No,,Non Fiction General/Genre,US,No,MD,US,She/Her,Black,0-5 years,,,Female,2021-02-08,Pipe Wrench Magazine,news
648,Pipe Wrench Magazine,2021-04-25,Writer,"1,500-word essay",1500 word essay,writing and reporting,1500,essay,500,,0,,,,2 weeks or less,Direct Deposit,They reached out to me with an assignment,1st Rights,Yes,No,"Yes, but the job wasn't killed",250,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,Unsure,,Non Fiction Memoir,United States,No,PA,,She/Her,Black,15-20 years,50,"Loved it, Would recommend to others","Cis, Female",2021-04-25,Pipe Wrench Magazine,news
649,Pitchfork,2025-02-13,Writer,800-word album review,800 word album review,writing and reporting,800,review,200,,0,,8,25,2 months,Direct Deposit,They asked me to pitch,Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Unsure,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Entertainment,USA,Yes,New York,USA,He/His,White,10-15 years,34,Whatevs,"Cis, Male",2025-02-13,Pitchfork,news
650,Ploughshares,2020-12-01,,Single book critical essay,single book critical essay,writing and reporting,,essay,25,per article,25,$25 per article,30,0.83,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2020-12-01,Ploughshares,ambiguous
651,Pod People,2024-11-10,"Audio Production, Copy Editor, Editor, Producer, Writer","Development Producer, focusing on content",development producer focusing on content,audio,,audio,2500,per month,2400,2400 per month,28,89.29,30 days,Direct Deposit,They asked me to pitch,Work For Hire,Yes,Yes,"No, but the job wasn't killed",,Required overtime &amp; I was compensated,Job did not expand,Required expenses &amp; I was reimbursed,"Same as other invoicing, through bill.com",Was not hazardous,No,No,No,,Editorial &amp; Opinion,,Yes,,,,,,,,,2024-11-10,Pod People,ambiguous
652,Pod People,2020-04-01,Producer,senior podcast producer,senior podcast producer,audio,,audio,21000,per episode,750,$750 per episode,,,30 days,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,Cooking,United STtates,No,,United States,,White,Prefer not to say,,"Loved it, Would recommend to others",Female,2020-04-01,Pod People,ambiguous
653,Pod People,2020-10-01,Audio Production,"Hourly production work -- producing interviews, voice coaching host",hourly production work  producing interviews voice coaching host,audio,,audio,75,per hour,75,$75/hr (negotiated up from initial offer of $50),,,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,,No,,,,,,,,,,,,,United States,Yes,New York,,She/Her,White,5-10 years,,,"Cis, Female",2020-10-01,Pod People,ambiguous
654,Pod People,2020-03-01,"Audio Production, Producer",Producing 12 epsiodes of a 20-30 minute interview podcast. Did not include audio editing.,producing 12 epsiodes of a 20 30 minute interview podcast. did not include audio editing.,audio,,audio,12000,per episode,1000,$1000 per episode: $500 on delivery of initial script and $500 on acceptance by client,,,30 days,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,No,Unsure,,"Required a lot of work, but contract was written to be very broad so I can't say it included ""overtime."" But it was a lot!",Unsure,Did not require expenses,,Was not hazardous,No,No,No,,,US,Yes,NY,US,She/Her,White,5-10 years,,"PP said they were going to dock my pay to $850 per episode due to a production schedule issue -- deadlines moved up significantly, so they hired another freelancer to do the script writing which was part of my original scope of work. Ultimately after some discussion I did get the full rate. The pay per episode was low for the level of work required - pitching guests, booking, preparing release forms, producing remote interviews, sound checks, overseeing host tracking and scripting (I was editing the other freelancer's draft scripts and submitting them to the client), client calls and writing weekly project update emails.","Female, Cis",2020-03-01,Pod People,ambiguous
655,Poetry Foundation,2023-04-01,Poet,Archival Reprint,archival reprint,writing and reporting,,other,750,per assignment,250,$250/poem,1,750,30 days,Direct Deposit,"No pre-existing relationship, They reached out to me with an assignment",Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,No,No,Unsure,,Poetry Archive,United States,Yes,Ohio,United States,He/His,White,5-10 years,31,"Hated it, Would not recommend to others",Cis,2023-04-01,Poetry Foundation,not_news
656,Poetry Foundation,2019-11-20,Writer,2500-word profile,2500 word profile,writing and reporting,2500,article,1500,,0,,,,2 weeks or less,Check by mail,They reached out to me with an assignment,1st Rights,Yes,No,"Yes, but the job wasn't killed",375,Did not require overtime,Job expanded &amp; I wasn't compensated,Did not require expenses,,,Unsure,Unsure,No,,"Entertainment, I don't think their website really has sections, but it's a poetry pub.",US,Yes,NY,US,She/Her,"Jewish, White",10-15 years,36,Loved it,Female,2019-11-20,Poetry Foundation,not_news
657,Poets &amp; Writers Magazine,2023-03-16,,profile,profile,writing and reporting,,article,1000,,0,,30,33.33,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-03-16,Poets and Writers Magazine,ambiguous
658,Pointe Magazine,2022-09-01,Writer,author interview,author interview,writing and reporting,,article,275,,0,,,,2 months,Check by mail,Cold pitch - I reached out to them,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,,"several checks were lost in the mail, but eventually it worked out",Was not hazardous,No,No,,,Fiction General/Genre,usa,Yes,md,don't know probably ny,She/Her,Jewish,15-20 years,65,Loved it,Female,2022-09-01,Pointe Magazine,news
659,Politico Europe,2021-01-11,Illustrator,Front Page Illustration,front page illustration,graphics/design,,graphics,650,,0,,,,30 days,Direct Deposit,Cold pitch - I reached out to them,,Yes,No,,,,,,,,,,,,Editorial &amp; Opinion,United States,No,NY,,He/His,"Jewish, White",0-5 years,33,Loved it,Male,2021-01-11,Politico,news
660,Politico Magazine,2023-11-01,Writer,2500 words reported feature with travel.,2500 words reported feature with travel.,writing and reporting,2500,feature,3500,per word,1,$1 per word and travel reimbursement.,500,7,30 days,Direct Deposit,"Pre-existing relationship, They asked me to pitch",Work For Hire,Yes,Yes,"Yes, but the job wasn't killed",1250,Did not require overtime,compensated for photographs taken ($250),Required expenses &amp; I was reimbursed,"Had to file an invoice of expenses with receipts to editor. Reimbursed through Worksuite, BIll.com",Was not hazardous,No,No,No,,National News,USA,Yes,NEW YORKL,USA,She/Her,South Asian,10-15 years,35,Would recommend to others,Female,2023-11-01,Politico,news
661,Polygon,2025-02-03,Writer,streaming guide,streaming guide,writing and reporting,,other,300,,0,,5,60,30 days,Direct Deposit,Pre-existing relationship,,Yes,No,"Yes, but the job wasn't killed",150,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Entertainment,USA,Yes,Massachusetts,USA,She/Her,White,10-15 years,37,Loved it,"Cis, Female",2025-02-03,Polygon,news
662,Polygon,2020-11-30,Writer,1600 word feature,1600 word feature,writing and reporting,1600,feature,350,,0,,,,New Job - Still Waiting,Direct Deposit,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Publicly Available,Unsure,No,,Entertainment,US,No,NY,US,He/His,White,5-10 years,37,"Loved it, Would recommend to others",Cis,2020-11-30,Polygon,news
663,Polygon,2020-11-30,Writer,1000 word guide,1000 word guide,writing and reporting,1000,article,250,,0,,,,New Job - Still Waiting,,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Publicly Available,Unsure,No,,Entertainment,US,No,NY,US,He/His,White,5-10 years,37,"Loved it, Would recommend to others",Cis,2020-11-30,Polygon,news
664,Pop Heist,2025-01-01,Writer,Trend essay,trend essay,writing and reporting,,essay,84,per word,0.06,$0.06/word flat rate for all contributors (AND worker-owners),5,16.8,2 weeks or less,Direct Deposit,"No pre-existing relationship, Cold pitch - I reached out to them",Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,,,Was not hazardous,Publicly Available,Publicly Available,No,,Entertainment,United States,Yes,Maryland,United States,She/Her,White,5-10 years,,"Loved it, Would recommend to others","Cis, Female",2025-01-01,Pop Heist,news
665,Pop Heist,2024-12-09,"Editor, Writer",1000 word media analysis essay,1000 word media analysis essay,writing and reporting,1000,essay,63.3,per word,0.06,$0.06 per word,3,21.1,New Job - Still Waiting,Direct Deposit,"No pre-existing relationship, Cold pitch - I reached out to them",Work For Hire,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,Unsure,,Entertainment,United States,No,"Washington, DC",United States,He/They,Black,0-5 years,29,Whatevs,"Cis, Male",2024-12-09,Pop Heist,news
666,Popular Science,2025-01-01,Writer,Reported story,reported story,writing and reporting,,article,350,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-01,Popular Science,news
667,Popular Science,2021-04-01,Writer,2000 word reported feature story,2000 word reported feature story,writing and reporting,2000,feature,1500,per word,0.75,0.75 per word,,,30 days,Direct Deposit,Pre-existing relationship,I was sent WFH language and asked for a first rights agreement and got it.,Yes,No,"Yes, but the job wasn't killed",375,,Job expanded &amp; I wasn't compensated,Did not require expenses,,Was not hazardous,No,No,No,,National News,USA,Yes,NY,USA,He/His,White,10-15 years,38,Would not recommend to others,Male,2021-04-01,Popular Science,news
668,Portland Monthly,2024-09-15,Writer,500 word column,500 word column,writing and reporting,500,essay,230,per article,230,$230 per piece,3,76.67,New Job - Still Waiting,new job,Network referral,Work For Hire,Yes,No,"Yes, but the job wasn't killed",50,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,Home &amp; Garden,United States,No,WA,United States,She/Her,White,15-20 years,37,Whatevs,"Cis, Female",2024-09-15,Portland Monthly,news
